1.6537,115.78,3.0836,70200
1.7324,113.71,2.8901,65545
1.6795,115.19,2.9869,68984
1.6806,114.19,2.8559,64903
1.7108,114.92,3.1008,69485
1.7623,113.81,3.0803,66974
1.6121,114.02,2.7269,63867
1.6591,115.25,2.903,67483
1.6455,115.02,2.8801,66543
1.6728,115.22,2.9814,68796
1.7208,114.53,2.9917,68116
1.7836,113.7,3.1565,67627
1.6455,115.72,3.2168,68527
1.6792,115.32,3.0085,69947
1.7106,112.83,2.7475,63437
1.666,114.22,2.8652,64949
1.6305,115.25,3.1186,68074
1.7677,113.73,3.0105,66960
1.6557,115.9,3.1201,71072
1.6542,116.25,3.0704,72669
1.6859,114.39,2.951,65483
1.7029,114.84,2.9545,68894
1.6273,115.63,2.8773,68399
1.6564,115.34,2.963,68049
1.6395,115.37,2.8643,67502
1.7092,114.24,2.8866,66406
1.7128,111.42,2.6962,62579
1.7264,113.7,2.8089,65564
1.7056,115.18,3.2863,70250
1.6567,115.15,2.9095,67075
1.7073,114.79,3.0312,68570
1.6142,115.16,2.8,66013
1.6732,115.32,2.9652,69812
1.6609,114.64,2.8336,66012
1.6082,116.11,2.9523,69159
1.6021,116.23,2.9175,68713
1.7261,113.89,2.874,66317
1.6575,116.06,2.9924,73536
1.6552,115.59,2.9669,69278
1.7129,114.43,2.9202,67188
1.6004,115,2.7542,65190
1.6262,116.5,3.137,73491
1.7237,114.25,3.0003,66369
1.6675,114.01,2.8062,64266
1.6324,115.91,2.9832,69911
1.638,116.25,2.9962,72751
1.6824,115.04,3.1085,68979
1.6373,113.99,2.7638,64338
1.6196,114.71,2.7932,65195
1.6296,115.9,2.9736,70642
1.6719,115.18,3.0906,68192
1.7558,113.26,2.8301,65245
1.67,114.48,2.8229,65683
1.7108,114.46,2.92,67714
1.6141,114.95,2.8062,65692
1.6866,113.14,2.7249,63672
1.6405,115.51,2.9231,68157
1.6725,113.57,2.78,64239
1.6891,114.38,2.8531,65944
1.6872,114.64,2.8652,66838
1.6527,114.68,2.871,66200
1.6666,114.5,2.8198,66022
1.6926,114.8,2.9554,67676
1.6164,112.7,2.7052,62624
1.6248,115.24,2.8258,66242
1.6497,112.47,2.7077,62660
1.6954,114.78,2.994,67495
1.6954,114.78,3.0948,68059
1.6908,114.11,2.834,65227
1.7649,112.64,2.7745,63878
1.7719,113.95,2.9561,68341
1.7893,113.88,3.1294,68882
1.8493,112.67,3.133,66273
1.6294,115.15,2.8176,67473
1.6228,115.22,2.8975,67754
1.6948,114.12,3.2652,66368
1.8396,112.65,3.1056,67111
1.687,116.09,3.1339,76051
1.6897,115.7,3.0217,74393
1.6071,115.86,2.9693,68790
1.7464,114.15,2.9217,68200
1.6228,116.28,2.7939,72396
1.6858,116.13,3.0677,77041
1.6073,116.39,3.0446,72599
1.7233,114.85,2.9217,71118
1.6378,117.51,3.0761,82495
1.6788,115.24,2.8598,69363
