11.846,12.201,12.552,12.894,13.225,17.363,17.764,18.126,18.446
6.9683,7.2582,7.5526,7.8485,8.1429,12.671,13.284,13.922,14.583
15.078,15.426,15.779,16.134,16.485,23.567,24.394,25.254,26.142
10.374,10.696,11.017,11.333,11.641,17.222,17.91,18.62,19.347
6.2788,6.5401,6.8021,7.0629,7.3209,9.6069,9.9795,10.352,10.722
5.712,5.9364,6.1646,6.3958,6.6288,9.978,10.514,11.091,11.709
16.602,16.967,17.337,17.707,18.072,21.061,21.506,21.917,22.289
7.0262,7.3069,7.5908,7.8752,8.1576,11.43,11.985,12.56,13.153
7.6783,7.9492,8.2267,8.5082,8.791,16.391,17.359,18.414,19.556
6.9172,7.1898,7.4603,7.727,7.988,10.774,11.115,11.445,11.763
3.628,3.8804,4.135,4.3904,4.6447,8.1414,8.6873,9.2636,9.8691
4.8573,5.1413,5.4324,5.7278,6.0242,9.8893,10.553,11.253,11.985
4.6037,4.8468,5.0951,5.3469,5.6004,12.288,13.171,14.143,15.2
21.199,21.573,21.956,22.342,22.727,30.782,31.609,32.457,33.321
5.1897,5.4628,5.7326,5.9974,6.2555,11.611,12.277,12.981,13.722
9.1064,9.3631,9.6254,9.8913,10.159,16.775,17.676,18.66,19.726
21.158,21.494,21.843,22.199,22.557,32.076,33.228,34.468,35.792
13.693,13.99,14.29,14.592,14.891,20.502,21.177,21.883,22.618
10.089,10.431,10.779,11.13,11.48,20.128,21.179,22.301,23.489
3.8343,4.0922,4.3537,4.6167,4.8795,10.917,11.746,12.646,13.617
10.729,11.051,11.378,11.705,12.029,20.193,21.208,22.296,23.453
22.498,22.852,23.214,23.579,23.943,30.238,31.012,31.809,32.623
6.2839,6.5777,6.8693,7.1563,7.4363,16.259,17.316,18.463,19.698
6.8001,7.0499,7.3054,7.5647,7.8257,14.635,15.524,16.497,17.554
6.0037,6.2819,6.5744,6.8777,7.188,10.881,11.492,12.134,12.804
9.5352,9.8388,10.149,10.462,10.774,14.519,15.013,15.509,16.002
4.4263,4.7018,4.9752,5.2444,5.5077,12.522,13.411,14.371,15.401
13.553,13.871,14.193,14.516,14.836,23.352,24.305,25.323,26.403
6.704,6.9737,7.2544,7.5434,7.8374,16.226,17.312,18.505,19.804
14.606,14.96,15.315,15.667,16.01,23.874,24.661,25.471,26.299
8.7241,9.0093,9.3079,9.6163,9.9306,15.94,16.789,17.703,18.678
12.14,12.446,12.765,13.091,13.42,18.076,18.791,19.541,20.322
5.8776,6.2421,6.6154,6.9923,7.3671,13.949,14.963,16.03,17.147
14.112,14.459,14.807,15.151,15.487,23.289,24.143,25.032,25.953
2.601,2.8323,3.0622,3.2899,3.5146,9.88,10.699,11.599,12.58
3.5382,3.7821,4.0247,4.2649,4.5016,6.6599,7.0073,7.3576,7.71
1.2531,1.4852,1.7175,1.9493,2.1795,6.2006,6.8213,7.4925,8.2135
5.2936,5.5655,5.8344,6.0985,6.3563,13.936,14.834,15.808,16.855
3.9176,4.1857,4.457,4.7293,5.0005,6.0831,6.4144,6.7364,7.0472
18.43,18.781,19.142,19.508,19.874,23.802,24.361,24.911,25.446
7.3596,7.6201,7.884,8.1493,8.4141,15.689,16.627,17.653,18.765
19.263,19.589,19.927,20.272,20.62,29.332,30.367,31.477,32.659
18.356,18.642,18.942,19.253,19.57,27.327,28.365,29.497,30.719
16.115,16.444,16.777,17.109,17.437,24.245,24.971,25.721,26.492
7.6494,7.9509,8.2476,8.5372,8.8174,11.722,12.06,12.373,12.66
4.1225,4.3733,4.6228,4.8697,5.1127,9.3991,9.9663,10.567,11.201
18.592,18.95,19.319,19.693,20.067,26.834,27.555,28.287,29.027
9.8064,10.058,10.317,10.581,10.849,12.89,13.299,13.72,14.151
7.1863,7.4906,7.7964,8.1007,8.4005,14.741,15.557,16.421,17.332
8.9326,9.1955,9.4665,9.7432,10.023,15.587,16.335,17.141,18.003
9.4865,9.8241,10.166,10.508,10.846,15.451,16.037,16.624,17.206
20.835,21.13,21.439,21.758,22.083,27.956,28.757,29.611,30.516
2.7454,2.9617,3.1858,3.4164,3.6524,6.3876,6.9002,7.4552,8.0518
