0.9974,1,0.9996,0.9999,0.9894,0.9974,1,1,0.9912
0,0,0.00345,0.0431,0.1559,0.063771,0.0264,0.0059429,0.0050286
1,1,0.96,0.86,0.82,0.84,0.96,0.96,0.92
0.015862,0.02069,0.02,0.031724,0.05931,0.047586,0.030345,0.02,0.0089655
0.99741,1,0.9994,0.9992,0.98856,0.99688,0.99987,0.99987,0.99096
0.00055489,0.00072376,0.004029,0.042702,0.15252,0.063128,0.026557,0.0065021,0.0051852
1,0.99955,1,0.99698,0.97743,0.99471,1,1,0.99998
1,1,0.99931,0.96345,0.94603,0.96879,0.99466,0.98707,0.9969
0.98986,0.98927,0.99028,0.98717,0.96499,0.98328,0.98958,0.98993,0.99043
0.45432,0.3149,0.90148,3.5592,12.051,4.3873,1.4953,1.2287,2.3703
