0.35,0.67,0.8,0.8,0.98,1,1,1
0.36,0.7,0.88,0.88,0.99,1,1,1
0.42,0.73,0.88,0.88,0.97,1,1,1
0.37,0.74,0.85,0.85,0.99,1,1,1
0.32,0.79,0.89,0.89,1,1,1,1
0.33,0.74,0.83,0.83,0.99,1,1,1
0.33,0.71,0.84,0.84,0.97,1,1,1
0.32,0.68,0.79,0.79,0.96,1,1,1
0.32,0.67,0.78,0.78,0.98,1,1,1
0.31,0.71,0.83,0.83,0.95,1,1,1
0.31,0.68,0.85,0.85,1,1,1,1
0.32,0.69,0.87,0.87,0.99,1,1,1
0.32,0.74,0.86,0.86,1,1,1,1
0.24,0.58,0.76,0.76,0.96,1,1,1
0.34,0.75,0.88,0.88,1,1,1,1
0.4,0.75,0.9,0.9,0.99,1,1,1
0.34,0.69,0.83,0.83,0.95,1,1,1
0.27,0.73,0.88,0.88,0.98,1,1,1
0.41,0.72,0.87,0.87,0.99,0.99,1,1
0.42,0.68,0.81,0.81,0.96,1,1,1
0.3,0.69,0.84,0.84,1,1,1,1
0.42,0.79,0.92,0.92,1,1,1,1
0.33,0.72,0.86,0.86,0.99,1,1,1
0.43,0.73,0.84,0.84,0.98,1,1,1
0.32,0.67,0.82,0.82,0.98,1,1,1
0.34,0.71,0.83,0.83,0.97,0.99,1,1
0.46,0.69,0.83,0.83,0.99,1,1,1
0.42,0.72,0.81,0.81,0.99,1,1,1
0.33,0.79,0.86,0.86,0.98,1,1,1
0.37,0.72,0.82,0.82,0.99,1,1,1
0.32,0.65,0.79,0.79,1,1,1,1
0.31,0.64,0.85,0.85,0.98,1,1,1
0.35,0.73,0.85,0.85,0.99,1,1,1
0.39,0.65,0.84,0.84,0.99,1,1,1
0.28,0.68,0.84,0.84,0.99,1,1,1
0.44,0.76,0.86,0.86,0.97,1,1,1
0.35,0.68,0.83,0.83,0.99,1,1,1
0.28,0.68,0.82,0.82,0.97,1,1,1
0.38,0.69,0.8,0.8,0.97,1,1,1
0.43,0.68,0.83,0.83,0.99,1,1,1
0.4,0.69,0.81,0.81,0.97,1,1,1
0.41,0.71,0.84,0.84,0.97,1,1,1
0.36,0.66,0.83,0.83,0.98,1,1,1
0.33,0.73,0.86,0.86,1,1,1,1
0.46,0.74,0.88,0.88,0.98,1,1,1
0.33,0.69,0.84,0.84,0.99,1,1,1
0.32,0.67,0.85,0.85,0.99,1,1,1
0.27,0.65,0.76,0.76,0.99,1,1,1
0.28,0.69,0.82,0.82,1,1,1,1
0.34,0.73,0.86,0.86,1,1,1,1
